id,name,slug,type,tier,parent_id,description,url_path,biomes,created_at,region_ids,probability_by_region
50f2655f-457a-44a9-9729-2580a86a2594,Wargs,wargs,carnivores,encounter,,"Wargs are bred from cursed Wolves. Unusually large and fierce, they are also more intelligent than their canine ancestors. They serve as mounts for Orcs and as guards and scouts for Morgoth. Being artificially long-lived, undead, the spirit that inhabits a Warg's form dissipates when the body is slain. In turn, the body disappears.",,,2026-06-15 16:25:44.988887,"{3,9,14,15,16,17,21,24,35,36,37,38,39,40,41,42,43,44,45,46,48,50,54,55,56,57,58,59,60,61,62,63,66,67,68,69,70,71,73,76,80,81,83,85,86}","[{""region"": ""Angmar"", ""probability"": ""Absurd""}, {""region"": ""Bree"", ""probability"": ""Absurd""}, {""region"": ""Central Anduin"", ""probability"": ""Absurd""}, {""region"": ""Central Misty Mountains"", ""probability"": ""Very Hard""}, {""region"": ""Coldfells"", ""probability"": ""Sheer Folly""}, {""region"": ""Dor Guldur"", ""probability"": ""Very Hard""}, {""region"": ""Druadan Forest"", ""probability"": ""Extremely Hard""}, {""region"": ""En Egladil"", ""probability"": ""Very Hard""}, {""region"": ""En Udanoriath"", ""probability"": ""Sheer Folly""}, {""region"": ""Enedhwaith"", ""probability"": ""Absurd""}, {""region"": ""Eregion"", ""probability"": ""Extremely Hard""}, {""region"": ""Ettenmoors"", ""probability"": ""Sheer Folly""}, {""region"": ""Evendim Hills"", ""probability"": ""Absurd""}, {""region"": ""Fornost"", ""probability"": ""Absurd""}, {""region"": ""Forochel"", ""probability"": ""Extremely Hard""}, {""region"": ""Forovirian"", ""probability"": ""Sheer Folly""}, {""region"": ""Iron Hills"", ""probability"": ""Hard""}, {""region"": ""Lone-lands"", ""probability"": ""Extremely Hard""}, {""region"": ""Minhiriath"", ""probability"": ""Sheer Folly""}, {""region"": ""Mintyrnath"", ""probability"": ""Extremely Hard""}, {""region"": ""Mirkwood Wilds"", ""probability"": ""Medium""}, {""region"": ""Moria"", ""probability"": ""Sheer Folly""}, {""region"": ""Nan Anduin"", ""probability"": ""Extremely Hard""}, {""region"": ""North Misty Mountains"", ""probability"": ""Sheer Folly""}, {""region"": ""Numeriador"", ""probability"": ""Absurd""}, {""region"": ""Nurn"", ""probability"": ""Extremely Hard""}, {""region"": ""Old Forest"", ""probability"": ""Absurd""}, {""region"": ""Rammas Formen"", ""probability"": ""Very Hard""}, {""region"": ""Rast Vorn"", ""probability"": ""Absurd""}, {""region"": ""Rivendell"", ""probability"": ""Sheer Folly""}, {""region"": ""Rohan"", ""probability"": ""Extremely Hard""}, {""region"": ""Ronen-in-Anduin"", ""probability"": ""Sheer Folly""}, {""region"": ""South Arthedain"", ""probability"": ""Absurd""}, {""region"": ""South Downs"", ""probability"": ""Extremely Hard""}, {""region"": ""Talath Muil"", ""probability"": ""Extremely Hard""}, {""region"": ""Talath Uichel"", ""probability"": ""Very Hard""}, {""region"": ""The Shire"", ""probability"": ""Absurd""}, {""region"": ""Tower Hills"", ""probability"": ""Absurd""}, {""region"": ""Trollshaws"", ""probability"": ""Very Hard""}, {""region"": ""Weather Hills"", ""probability"": ""Extremely Hard""}, {""region"": ""West Rhudaur"", ""probability"": ""Extremely Hard""}, {""region"": ""Westmarch"", ""probability"": ""Sheer Folly""}, {""region"": ""Wilderness of Arnor"", ""probability"": ""Sheer Folly""}, {""region"": ""Wold"", ""probability"": ""Absurd""}, {""region"": ""Woodmen"", ""probability"": ""Very Hard""}]"
1af98400-329e-4c12-a638-16b6ee9f66f5,Fell Beasts,fell_beasts,drakes,encounter,,"Small, Dragon-related monsters, Fell Beasts are horrible and terrifying creatures bred from Winged-drakes. Sauron found them roosting in the remote highlands of the North and refined them in order to produce swift, aerial steeds for his Nazgûl.",,{plains},2026-06-15 16:25:44.988887,"{1,2,6,24,35,36,38,39,68,74,76,83,87}","[{""region"": ""Central Anduin"", ""probability"": ""Absurd""}, {""region"": ""Central Misty Mountains"", ""probability"": ""Absurd""}, {""region"": ""Dor Rhunen"", ""probability"": ""Absurd""}, {""region"": ""Dorwinion"", ""probability"": ""Absurd""}, {""region"": ""Eothraim"", ""probability"": ""Absurd""}, {""region"": ""Gramuz"", ""probability"": ""Absurd""}, {""region"": ""Nan Anduin"", ""probability"": ""Absurd""}, {""region"": ""North Misty Mountains"", ""probability"": ""Absurd""}, {""region"": ""Nurn"", ""probability"": ""Hard""}, {""region"": ""Ronen-in-Anduin"", ""probability"": ""Absurd""}, {""region"": ""Mordor"", ""probability"": ""Sheer Folly""}, {""region"": ""Dor Guldur"", ""probability"": ""Sheer Folly""}, {""region"": ""Iron Hills"", ""probability"": ""Medium""}]"
20b0828e-e2b9-421a-9137-431214c8cc19,Merchaithrais,merchaithrais,water_animals,encounter,,"The Shadowhorn, or ""Morchaithras"" (pl. ""Merchaithrais"" or ""Morchaithrais""), is a large, flat, black Ray equipped with a long, whiplike tail. Its tail is studded with short but exceptionally sharp barbs that deliver knifelike cuts and inject victims with a powerful (3rd lvl) muscle venom. The Ray expanded pectoral fins form triangular wings that extend along its head and trunk, giving the fish a diamond shape. The tips of these wings are equipped with electricity-producing organs that can stun or immobilize a swimmer. Merchaithrais prefer to swim along the bottom of the coastal shelf, burrowing themselves in the sand near shoals in order to await their prey. While swimming, they flap their pectoral fins and move gracefully and quickly through the water, as if flying.",,{river},2026-06-15 16:25:44.988887,"{13,20,29}","[{""region"": ""Belegaer sea"", ""probability"": ""Hard""}, {""region"": ""Anfalas"", ""probability"": ""Hard""}, {""region"": ""Dor-en-Emyl"", ""probability"": ""Hard""}]"
d2953312-ad6a-464a-987e-fc754384334f,Marsh Ponies,marsh_ponies,riding_animals,encounter,,"Also called the Perroch-i-Lin, the Marsh Pony is a short, sturdy beast with relatively wide hooves and powerful lungs. Most are grey, and all have a long, silky mane.",,{marsh},2026-06-15 16:25:44.988887,"{8,16,21,38}","[{""region"": ""Nan Anduin"", ""probability"": ""Very Hard""}, {""region"": ""Dagorlad"", ""probability"": ""Very Hard""}, {""region"": ""Enedhwaith"", ""probability"": ""Very Hard""}, {""region"": ""Minhiriath"", ""probability"": ""Very Hard""}]"
e92dae6c-b6eb-485e-8f48-305cb0719abd,Mearas,mearas,riding_animals,encounter,,"These Horses are among the most noble of the Endorian beasts. They were unknown as a breed before ca. T.A. 2545, the approximate date that the first breeding herd was fully established in Rohan by Eorl the Young; however, individual Mearas were to be found in Middle-earth before that date. They are commonly (and correctly) believed to be the descendants of Nahar, the Steed of Oromë, as are the Elven Horses. The progenitor of the breed in Rohan was Felaróf, who was white; such was his strength as an ancestor that most of his descendants are white or dappled gray. All Mearas, regardless of color, share Felaróf's other characteristics: they understand human speech, can be ridden without saddle or bridle (although they will tolerate such devices if needed), and live to a great age (eighty years is not unusual). Famous individuals include Felaróf (captured by Léod of the Éothéod, who named him Mansbane before Eorl renamed him), Shadowfax (Gandalf's steed, chief of the Mearas in Théoden's time), and Snowmane (Steed of King Théoden, who fell at the Pelennor Fields).",,,2026-06-15 16:25:44.988887,{62},"[{""region"": ""Rohan"", ""probability"": ""Very Hard""}]"
ab20c66b-5143-4427-8dbd-60b756301feb,Kine Of Araw,kine_of_araw,herbivores,encounter,,"The Kine of Araw are the largest of Middle-earth's bovids, that is creatures with split, even-toed hoofs. It is believed that these large, white cattle are the gift of the Vala Oromë (Araw). This is quite possibly true. The beasts are found on the shores of the Sea of Rhûn and on the Plain of Talath Harroch, east and south of Mirkwood. As far as anyone can tell, the Easterling tribes are the only people to have domesticated these creatures and used them as draft beasts, since the Rhovanion Northmen revered the Kine and used them only for breeding other cattle. Easterlings employed Kine to pull the Great Wains of their chiefs. During the brief existence of the Wainrider Kingdom in Wilderland (T.A. 1854-99), dozens of these magnificent beasts were pressed into service, and many perished in the raiding and wars that accompanied the Wain-easterlings' occupation. Many people of central Middle-earth value the long gray horns of these cattle, both to use as trumpets and drinking horns and to cut into sections for superb compound bows.",,"{forest,plains}",2026-06-15 16:25:44.988887,"{1,2,3,6,83,87}","[{""region"": ""Dor Rhunen"", ""probability"": ""Medium""}, {""region"": ""Dorwinion"", ""probability"": ""Very Hard""}, {""region"": ""Eothraim"", ""probability"": ""Medium""}, {""region"": ""Gramuz"", ""probability"": ""Medium""}, {""region"": ""Dor Guldur"", ""probability"": ""Medium""}, {""region"": ""Mirkwood Wilds"", ""probability"": ""Medium""}]"
f71c45cf-b41f-451d-8581-6f9b199f71d3,Stone-trolls,stone-trolls,trolls,encounter,,"Trolls that turn to stone when exposed to sunlight, found in rocky areas and hills.",,,2026-06-15 23:38:31.709665,"{41,42,43,51,66,70}","[{""region"": ""En Egladil"", ""probability"": ""Absurd""}, {""region"": ""Trollshaws"", ""probability"": ""Very Hard""}, {""region"": ""West Rhudaur"", ""probability"": ""Absurd""}, {""region"": ""Eregion"", ""probability"": ""Absurd""}, {""region"": ""Forovirian"", ""probability"": ""Very Hard""}, {""region"": ""Mänoriand"", ""probability"": ""Medium""}]"
db69cd68-1ad6-4f80-8814-61035bd24e8c,Red Wolves,red_wolves,carnivores,encounter,,"Chief predator (S. Draucaran, Q. Carnanarmo) of the settled reaches between the Misty Mountains and the Blue Mountains, particularly common in southern Eriador from Cardolan south to the Belegaer. Unlike the Grey Wolf it is a vicious, tireless hunter prone to kill for sport, preying chiefly on sheep and unafraid of Men, readily attacking lone individuals or small groups. Sheep Hounds have proved an effective counter to it.",,{mountains},2026-06-15 16:25:44.988887,"{16,21,42,59,70,81}","[{""region"": ""Minhiriath"", ""probability"": ""Hard""}, {""region"": ""South Downs"", ""probability"": ""Hard""}, {""region"": ""Eregion"", ""probability"": ""Hard""}, {""region"": ""Enedhwaith"", ""probability"": ""Hard""}, {""region"": ""Lone-lands"", ""probability"": ""Medium""}, {""region"": ""En Egladil"", ""probability"": ""Medium""}]"
c3605377-6868-4ff9-87c4-778d73c9a159,Cave-trolls,cave-trolls,trolls,encounter,,"Trolls that dwell in caves and underground passages, adapted to darkness.",,,2026-06-15 23:38:31.709918,"{48,51,54,55,56,57,61,66,73,81}","[{""region"": ""Evendim Hills"", ""probability"": ""Absurd""}, {""region"": ""Fornost"", ""probability"": ""Absurd""}, {""region"": ""Forochel"", ""probability"": ""Absurd""}, {""region"": ""Lone-lands"", ""probability"": ""Extremely Hard""}, {""region"": ""Numeriador"", ""probability"": ""Absurd""}, {""region"": ""Rammas Formen"", ""probability"": ""Extremely Hard""}, {""region"": ""Talath Muil"", ""probability"": ""Sheer Folly""}, {""region"": ""Weather Hills"", ""probability"": ""Extremely Hard""}, {""region"": ""Forovirian"", ""probability"": ""Sheer Folly""}, {""region"": ""Mänoriand"", ""probability"": ""Medium""}]"
ed8fc4df-8338-4b2e-8df1-93b0fcf8fcde,Ents,ents,living_trees,group,,"Ancient tree-like beings, shepherds of the forests, also known as Onodrim.",,,2026-06-15 23:38:31.710723,"{5,9,62,72,82}","[{""region"": ""Druadan Forest"", ""probability"": ""Absurd""}, {""region"": ""Dunland"", ""probability"": ""Absurd""}, {""region"": ""Fangorn"", ""probability"": ""Medium""}, {""region"": ""Parth Celebrant"", ""probability"": ""Sheer Folly""}, {""region"": ""Rohan"", ""probability"": ""Absurd""}]"
51e93e8b-582f-4eb6-9404-eebc50cfb471,Lamprey,lamprey,water_animals,encounter,,"A cylindrical, grey, jawless fish, the Lamprey is a parasite that attaches itself to other creatures, like a leech with a circular maw. It then remains in place, slowly burrowing into the flesh and swallowing blood until sated. (A wound from a Lamprey will bleed at a rate of two hits/round for each round it was in place.)",,,2026-06-15 16:25:44.988887,{29},"[{""region"": ""Belegaer sea"", ""probability"": ""Light""}]"
4e93408d-db47-4cb6-8b44-9ecfd574c3eb,Lassaraukar,lassaraukar,demons,encounter,,"Leaf-demons (Q. ""Lassarauko""), nocturnal wood-spirits seduced and corrupted by Morgoth into savage arboreal predators. Immortal and unbreedable, with hearing and smell beyond Elven sight, they race along branches faster than a Swift flies and can stop instantly only at predetermined spots. Tall, featureless and greenish-hided, they live in ""lats"" of six (five Lesser led by one Greater) and rest motionless most of the day, often mistaken for statues (their eyes worth 500 gp).",,"{forest,mountains,river}",2026-06-15 16:25:44.988887,{12},"[{""region"": ""Harondor"", ""probability"": ""Extremely Hard""}]"
4971cf91-41a7-4451-ad8e-e013e754a2d0,Mabelmaikli,mabelmaikli,insects,encounter,,"Sharp-claws (Q. ""Mabelmaikli"") are huge creatures with eight appendages. They resemble a cross between a Crab and a Squid and inhabit the inland seas of Rhûnen, Nûrnen, Dushera and the sheltered coastal shelves between the Bay of Helcar (in the Romenëar) and the Bay of Ormal (in the Haragaer). Because they are enamoured of rich, somewhat briny water, though, Mabelmaikli can thrive in any marsh, delta, lake, or ocean where there is a little salt. They are most common in Mordor and in the waters off Arg-Simorîg. Mabelmaikli feed on Starfish, Shellfish, and submarine Worms, but they will attack any animal that comes within reach of their four nimble, steely claws. Each of these pincers is 1-2 feet in diameter and can crush a Man with ease. Together, they present a frightening array. Actually, they are simply the creature's four forward, grasping appendages, and are used to immobilize prey. The Mabelmaikla tears its victims apart with nine inch mandibles and four pairs of mouth parts. Like their Crab relatives, Sharp-claws propel themselves backwards when they swim, but they move much faster, often at speeds of up to fifteen miles an hour. Generally, though, they prefer to burrow and remain inactive until their prey happens by. Their ability to lay an ambush is legend, especially among the slave-fishermen of Nûrn. After all, Mabelmaikli are huge, bright purple denizens that one would expect to see with relative ease. By using refined instincts and the cover of their burrows and murky waters, however, these beasts hide very well. Sharp-claws make excellent feeding machines. They 'hear' with sensors in their four legs and smell and feel with their three foot long antennae. Pain does not affect them. (They cannot be stunned.) Once a Mabelmaikla senses a prospective kill, it darts forward and embraces its victim with one or more pincers. Then it smells the prey with its feet, analyzing the pinioned creature's worth as food.",,"{marsh,river}",2026-06-15 16:25:44.988887,"{74,76,87}","[{""region"": ""Dorwinion"", ""probability"": ""Absurd""}, {""region"": ""Mordor"", ""probability"": ""Very Hard""}, {""region"": ""Nurn"", ""probability"": ""Very Hard""}]"
a75aeee3-2613-4cd7-9a26-3e5a52813af5,King Spiders,king_spiders,insects,encounter,,"King Spiders are similar to but unlike the Giant Spiders of Mirkwood. They do not build large webs but rather dig deep pits, 2-3 ft wide and 8-10 ft deep. A King Spider caps this pit with a lid cleverly woven from a small amount of spider-silk, disguising the covering with leaves and other vegetation so that it is extremely hard (-30) to detect. Victims falling through the lid receive one to three +25 short sword attacks from the strong, knife-like silk tendrils. The pits are usually built on slopes. They support no more than 40 pounds of weight. The K i n g Spider, who has been waiting in a small side passage, leaps upon the victim and biles it, injecting its special poison, Kennesank. A RR f a i l u r e of 1-50 results in paralysis; a failure of 51+ results in death as the internal organs dissolve. If the victim dies, the spider will eat it. If not, the thrifty spider saves the meal. If it is a female who has recently mated, she may lay 6-12 eggs on top of the helpless prey and leave, sealing the hole more sturdily behind her. In two days, when the spiderlings hatch, they will spend three weeks living on the food left behind by their mother. Surely one of Endor's most vicious insects, the rare but often lethal Hummerhorn is the stuff of legend. Each weighs 6-8 lbs and has a razor sharp, pointed proboscis of chitin (transparent horn). It gores a victim to death, then feasts on the corpse with three sets of mandibles. They resemble gigantic black and grey wasps, and their only failing is the noise they make whenever they approach.",,{forest},2026-06-15 16:25:44.988887,"{9,14,62,63,83}","[{""region"": ""Druadan Forest"", ""probability"": ""Absurd""}, {""region"": ""Rohan"", ""probability"": ""Absurd""}, {""region"": ""Westmarch"", ""probability"": ""Absurd""}, {""region"": ""Wold"", ""probability"": ""Absurd""}, {""region"": ""Dor Guldur"", ""probability"": ""Medium""}]"
1faf25f8-cbd3-44a4-9608-95c5fed41eaf,Jackals,jackals,carnivores,encounter,,"Scavenging canines found in arid and desert regions, known for their cunning.",,,2026-06-15 23:38:31.712041,{83},"[{""region"": ""Dor Guldur"", ""probability"": ""Medium""}]"
d23c16a2-86e0-4d46-821d-8002e6802f41,Daen folk,daen_folk,humans,encounter,,"The indigenous pre-Númenórean people of the coastlands and plains, shorter and stockier than the Dúnedain, who adopted Westron and much of Númenórean culture while retaining their oral traditions and ballads; they form the majority of the common population of Lebennin and Anfalas.[file:73]",,,2026-06-16 22:58:58.653695,"{13,19,78,79}","[{""region"": ""Lamedon"", ""probability"": ""Medium""}, {""region"": ""Anfalas"", ""probability"": ""Medium""}, {""region"": ""Hairavercien"", ""probability"": ""Medium""}, {""region"": ""Andrast"", ""probability"": ""Medium""}]"
e7963437-99f8-4831-9e59-27bfbd0ddbc6,Daen Coentis,daen_coentis,humans,encounter,1007565e-5a57-46d9-9089-2f94e04a2e01,"Mountain clans of the White Mountains living above the timberline in primitive groupings; semi-nomadic goat shepherds and fisherfolk on the coasts (Dunir of Andrast), they have largely avoided cultural contact with Gondor and still honor ancient Daen traditions.[file:73]",,,2026-06-16 22:58:58.653695,"{13,19,21,72,78,79}","[{""region"": ""Dunland"", ""probability"": ""Medium""}, {""region"": ""Anfalas"", ""probability"": ""Medium""}, {""region"": ""Hairavercien"", ""probability"": ""Medium""}, {""region"": ""Andrast"", ""probability"": ""Medium""}, {""region"": ""Lamedon"", ""probability"": ""Medium""}, {""region"": ""Enedhwaith"", ""probability"": ""Medium""}]"
b2b81354-a616-4b33-b26d-c746e85a533c,Sakalai,sakalai,humans,encounter,1007565e-5a57-46d9-9089-2f94e04a2e01,"Small, dark-haired, independent tribes in the Loeg Balimur and remote Ethir Anduin, believed to be of mixed Daen and Southron stock; they live as swamp fishermen largely outside Gondorian authority.[file:73]",,,2026-06-16 22:58:58.653695,"{13,19,78,79}","[{""region"": ""Lamedon"", ""probability"": ""Medium""}, {""region"": ""Anfalas"", ""probability"": ""Medium""}, {""region"": ""Hairavercien"", ""probability"": ""Medium""}, {""region"": ""Andrast"", ""probability"": ""Medium""}]"
39c6f905-e634-405e-80b0-d9ff9ce329e5,Elves of Rivendell,elves_of_rivendell,elves,encounter,aa6753b4-ba46-47b2-88cc-3e0d23036707,"Rivendell is home to a mixed Elven population: Noldor lords and craftsmen, Sindar and numerous Silvan Elves who tend the grounds, agriculture and patrols.[file:244] Elves are tall, ageless, disease-immune, highly resistant to heat and cold, and in Rivendell they live in a hierarchical but willing social structure centred on Elrond as Lord of the House, with Silvan Elves often delighting in service and colourful dress, Sindar and Noldor taking leadership and craft roles, and nearly all residents trained to aid in defence when needed.[file:244]",,,2026-06-16 22:58:58.653695,{80},"[{""region"": ""Rivendell"", ""probability"": ""Medium""}]"
3c53e93a-1e01-4478-ad09-a71fb3f504af,Elrond,elrond,elves,encounter,f88be998-fd2d-4737-bc83-3356ed5e3447,"Elrond Half-elven, descended from both Eldar and Edain, founded Imladris in S.A. 1697 after the fall of Eregion and has since served as Lord of Rivendell, keeper of heirlooms of Arnor and wielder of Vilya, the Ring of Air.[file:244] His household includes his family (Celebrian, Elladan and Elrohir), other Noldorin lords, craftsmen, scholars and hosts, forming a cultured, self-sustaining enclave that also serves as headquarters for the Rangers and meeting place for the White Council in the late Third Age.[file:244]",,,2026-06-16 22:58:58.653695,{80},"[{""region"": ""Rivendell"", ""probability"": ""Medium""}]"
c793a19e-d76c-4ee6-b953-a727e72c8530,Furry oak,furry_oak,trees,encounter,,"Tall, closely spaced hardwoods with branchless lower trunks and umbrella crowns about forty feet up. Their dense canopies and thick bark make Southern Mirkwood's interior dark, damp and resistant to many pests and blights.",,{forest},2026-06-16 01:06:26.738636,"{3,37,83}","[{""region"": ""Mirkwood Wilds"", ""probability"": ""Medium""}, {""region"": ""Dor Guldur"", ""probability"": ""Medium""}, {""region"": ""Woodmen"", ""probability"": ""Medium""}]"
78f9f190-a4cf-4df5-abab-4f9a9d708ee4,Chap-beech,chap-beech,trees,encounter,,"Companion beech-like trees with smooth trunks and tight crowns that interweave with furry oaks. Together they form the shadowed, foggy forest typical of the southern eaves of Mirkwood.",,{forest},2026-06-16 01:06:26.82032,"{3,37,83}","[{""region"": ""Mirkwood Wilds"", ""probability"": ""Medium""}, {""region"": ""Dor Guldur"", ""probability"": ""Medium""}, {""region"": ""Woodmen"", ""probability"": ""Medium""}]"
ce65ed72-0712-49ac-9120-4808d4a8ad07,Marsh Adders,marsh_adders,reptiles,encounter,,"The Marsh Adder is a large, aquatic serpent common throughout all marshy areas of central Endor. Especially prevalent in the Dead Marshes and Nindalf (the Wetwang), this creature is an excellent swimmer whose mottled gray and brown scales allow it to go all but unnoticed in the foul waters of the marshes. Marsh Adders are easily startled and bite with little provocation, usually seeking out small creatures such as ducklings and frogs but also attacking larger beings if threatened. Its large, curved fangs deliver its poison deeply. The (10th lvl) venom can be lethal: many victims (RR failure of 51+) die in five rounds due to respiratory paralysis, while a less imposing dose (RR failure 01-50) gives flaccid paralysis, leaving the joints limp and the victim without voluntary muscle control for 1-100 hours.",,"{marsh,river}",2026-06-15 16:25:44.988887,"{8,38}","[{""region"": ""Nan Anduin"", ""probability"": ""Hard""}, {""region"": ""Dagorlad"", ""probability"": ""Hard""}]"
