id,external_id,name,location_type,population,description,region,image_url,created_at,updated_at,geom,inhabitants,url_path,slug
1058,,Rianbar,town,,"A town of Harithilien, situated south of the Emyn Arnen along the river Dinnen. Its stone houses and market square serve the southern Ithilien farmlands; the Dinnen valley is known for its olive groves and herb gardens, and the town's small harbour handles river traffic to and from Pelargir.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E61000009FD4EB038849324068E37468792E4540,,assets/locations,rianbar_1058
1060,,Aludor,town,,"A small town in southwestern Harithilien, set halfway between Hyarpendë and Tir Ethraid on the road through the region. The town is notable as the seat of House Alagdor, one of Ithilien's ancient noble families, whose home castle Târik-Ûriyat rises on a rocky spur above the surrounding fields and olive groves. Stone houses with tiled roofs line the main road; the air carries the scent of herbs and cultivated terraces.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000792324BEE2263140C92960ED7B544440,,assets/locations,aludor_1060
1061,,Bar Nepos,town,,"A small town and watchtower at the mouth of the river Nethos in southwestern Harithilien. Home of the noble house of Nethos, whose tower overlooks the river confluence and the road to Pelargir. The town's houses are compact, stone-built and practical; the watchtower is the tallest structure for miles.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000C4F5B45FF0DB30406B1106C6851A4440,,assets/locations,bar_nepos_1061
1062,,Bar Morvegil,town,,"A small town of Harithilien on a tributary of the Poros, once known as Bar Miruvor ('House of Precious-juice'). It was renamed Bar Morvegil ('House of the Black-sword') when the local noble family took a martial crest. Its stone houses and small river-wharf serve travellers on the Poros road; orchards and herb-gardens cover the gentle slopes around it.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E61000003AD9A0DDD5AC2F40F55864D067284440,,assets/locations,bar_morvegil_1062
1063,,Hyarpendë,town,,"The most important trading town of Harithilien, Hyarpendë ('South Slope' in Quenya) sits on the east bank of the Anduin opposite Pelargir, at the northern end of the Hyarmentie road. A ferry runs every two hours across to Pelargir, usually packed with merchants, horses and goods. The town has grown from a lazy village into a bustling commercial centre: merchants deal in horses and mules, a coach line runs south along the Poros, and the Five Falcons inn feeds the weary (at high prices). At the town centre stands a thirty-foot Númenórean obelisk marking the road's end.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E61000003AB2FB7BE7563040927CDD2CAD8A4440,,assets/locations,hyarpend__1063
1064,,Sindamos,manor,,"A lordly manor in western Harithilien, the main settlement of the county of Glorel. Known in Sindarin as Thindamost ('Grey ascending house'), it sits on a gentle slope above the Ithilien farmlands. The manor house is a Gondorian stone hall with outbuildings and enclosed gardens; the surrounding county is known for olives and herbs.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000F22551D56B863140D0F73D8A74D24440,,assets/locations,sindamos_1064
1065,,Trenas,manor,,"The seat of Tolfalas' royal warden and the island's principal settlement (also known as Gobel Tolfalas). Located at the end of a long southeastern firth, with a haven for warships. Stone houses cluster at the foot of a ridge; the warden's small keep stands on the slope above. The town grew from a military base into a modest civilian settlement during the Third Age, though it remains a place of soldiers and sailors more than merchants.",,,2026-05-31 23:41:18.552052,2026-05-31 23:41:18.552052,0101000020E6100000226566856D403240D99F7A8B69034540,,assets/locations,trenas_1065
935,e482620a843795dc5e4be45e9e563745,Rond Orro,manor,,"A manor in the region, its character and household determined by its local lord.",,,2026-05-20 14:42:53.130077,2026-05-20 14:42:53.130077,0101000020E61000002570CE1E0B4300C0B11DCF44366D4A40,,assets/locations,rond_orro_935
1067,,Mindo-o-Galad,watchtower,,,,,2026-06-02 13:25:25.659966,2026-06-02 13:25:25.659966,0101000020E610000004509D4409EC02C08C4E0314CCA74A40,,assets/locations,mindo_o_galad_1067
1068,,Tir Bronadui,manor,,"A Noldor Elvish settlement on the northern coast of Lothlann — the only Elvish community in these chill lands. Originally a village with a tall lamp-house guiding lost sea-farers, it grew into a purely military outpost guarding the route around the Ered Luin into Lothlann and Forlindon. Its stone watchtower is visible for miles along the grey coastline; the Noldor here are few, disciplined and watchful. After the destruction of Angmar (T.A. 1975) the garrison was largely lost trying to rescue Arvedui, and the survivors departed south.",,,2026-06-02 13:52:49.185251,2026-06-02 13:52:49.185251,0101000020E6100000EE33A0E2E1E024C0002685644EF14B40,,assets/locations,tir_bronadui_1068
1069,,Annost,watchtower,,,,,2026-06-02 13:52:49.185251,2026-06-02 13:52:49.185251,0101000020E6100000AF8ED308F70D23C08C62F622871B4B40,,assets/locations,annost_1069
1070,,Sarn Athrad,town,,"Sarn Athrad ('Stone Ford') is the ancient stony ford of the Dwarves over the river Gelion near the influx of the Rathloriel, across which the old Dwarf Road from the Blue Mountains entered East Beleriand. It was here that the Battle of Sarn Athrad was fought between Elves and Dwarves of Nogrod in the First Age. By the mid-Third Age the old ford has been replaced by Edenathrad a little further north; the original ford is a quiet and wild place, remembered in legend but little-visited.",,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E6100000C853402B9B9323C051E896B68C7A4A40,,assets/locations,sarn_athrad_1070
1071,,lovithil,manor,,,,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E6100000CF17E413ED7025C0A1AB7D956E484A40,,assets/locations,lovithil_1071
1072,,Tol Ramdal,watchtower,,"A small island east of the Gulf of Lhûn in southern Forlindon, serving as the main harbour for High Elves setting out on sea-journeys to southern lands. The island's small stone quay and beacon-tower are maintained by a handful of Elves; the air here carries the salt of the open sea and the faint music of those about to sail west.",,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E610000095E940C1505226C010C98D7CB3D04940,,assets/locations,tol_ramdal_1072
1073,,Vorondrast,watchtower,,"A watchtower in Forlindon, maintained as part of the system of watch-posts guarding the coasts and passes of this northwestern Elvish realm. Stone-built and exposed to the elements; a small garrison keeps watch.",,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E61000007275C7F20D7B27C0D863D6B46A324A40,,assets/locations,vorondrast_1073
1074,,Amon Ereb,watchtower,,"A lone hill of gentle but commanding slopes in southern Forlindon, the highest point between the Ramdal and the Gelion. In the Third Age, the tower of Car Sidh ('House of Peace') crowns its summit — seat of Rhiannon, a Mithren noblewoman who patronises the largest house of Eldarin healers in Forlindon. About two hundred Elves dwell here; their halls are bright and ordered, and the terraced slopes bear the faint traces of much older First-Age earthworks and ditches dug in the wars against Morgoth. The hill is a landmark visible for miles across the flat southern lands.",,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E61000004DF72F12CD7924C082197E3E38D44940,,assets/locations,amon_ereb_1074
1075,,Rhomros,manor,,Rhomros ('Loudfoam') is a town in Galfalas where the Tauron (Celos) river meets the Bay of Lune. Timber cut from the forests of Forlindon is floated downstream here for ship construction; a small shipyard and sawmill dominate the waterfront. Low stone and timber houses face the bay; the smell of resin and sawdust hangs in the air.,,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E61000009A5D2CE2420320C021673F63E7E44940,,assets/locations,rhomros_1075
1076,,Mindon Bron,watchtower,,"A watchtower at Caranthir's Pass in Forlindon, maintained by the Rangers of Lindon to guard the route against intruders coming around the Ered Luin. A small garrison keeps the beacon burning; the tower is a plain stone structure on a windswept ridge with a view of the pass below.",,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E6100000282DB703972820C0E81DD561F0D84A40,,assets/locations,mindon_bron_1076
559,8db29c09f4bbb933338abeb89a583e7a,Tir Eiliant,manor,30.0,"The lordly seat of Anfalas, traditional home of the provincial governor (Cáno). A stone manor house and associated buildings in a defensible position overlooking Anfalas; the Cáno's household and administrative staff maintain it as the principal seat of authority for the coastal plain.",,,2026-04-09 19:20:51.684978,2026-04-09 19:20:51.684978,0101000020E6100000910BCEE0EFD7FE3FCF656A12BCA54440,Gondor,assets/locations,tir_eiliant_559
1077,,Amon Draug,point of interest,,"The highest hill in Forlindon, Amon Draug, sat near the mid-point of the Emyn Cûn hills, where the Gelion began. It was possible to see Belegaer from it’s summit.",,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E6100000D419CA62CB7B26C0A15F887B12244B40,,assets/locations,amon_draug_1077
1078,,Talanobel,town,,"A Nando-Sinda village ruled by descendants of the Guest-elves of Arthorien, Ithilbor's line. Its name means 'Flet-town'; buildings are set on platforms in the trees above the rapids of a nearby stream which the villagers use for small industries. Light filters through the canopy and the sound of water is constant.",,,2026-06-02 14:04:40.974278,2026-06-02 14:04:40.974278,0101000020E6100000D1E3858B4E3421C03C40E5EC7E634940,,assets/locations,talanobel_1078
1079,,Cebir Luin,ruins,,"A steep rocky hill south of the Pinnath Luin in Forlindon, the site of a battle in S.A. 1700 between Dwarves and Elves against a pursuing Orc force. The hill's flanks are honeycombed with old Dwarven excavations. By the Third Age it is a ruin: the ancient earthworks are overgrown, the tunnels dark and dripping, and travellers passing below glance up at the jagged stone crest with unease.",,,2026-06-02 14:22:00.07138,2026-06-02 14:22:00.07138,0101000020E610000009EB98AE697C10C0CB399EFF0AFE4840,,assets/locations,cebir_luin_1079
1080,,Tawarobel,village,,"The chief settlement of Dor Lelvin, belonging to the manor of Bar Erui at the end of the Ramb Luin. A village of about 150 individuals, mostly mortals with a small Elvish presence; the manor was long associated with Gildor Inglorion's line. Stone and timber houses sit at the edge of an old Elven estate whose gardens and orchards are still tended with Elvish care.",,,2026-06-02 14:22:00.07138,2026-06-02 14:22:00.07138,0101000020E610000092AA7A74D5CA17C0A9FC3120BC754A40,,assets/locations,tawarobel_1080
1081,,Barad Caranthit,ruins,,"A fortified hilltop in Forlindon south of the Pinnath Luin, honeycombed with old Dwarven excavations. The site of a battle in S.A. 1700, where a band of Dwarves and Elves made a last stand against pursuing Orcs; though most perished, one escaped to rouse a Dwarven host. The old tunnels and shafts are still there, and locals avoid going too deep. By the Third Age the hilltop is a ruin — crumbling walls and overgrown earthworks visited only by the bold or the curious.",,,2026-06-02 14:22:00.07138,2026-06-02 14:22:00.07138,0101000020E6100000D488EE4479881BC0AE1B65A0AE054C40,,assets/locations,barad_caranthit_1081
1082,,Luithen,village,,"A village in Forlindon or the Blue Mountains area, small and quiet; details of its inhabitants and economy are not well documented in current records.",,,2026-06-02 14:22:00.07138,2026-06-02 14:22:00.07138,0101000020E61000001721CAEA085213C047ED6915A0C54840,,assets/locations,luithen_1082
437,00e5f2d229a2edcf3766d67af82c63af,Gwaerost,castle,50.0,"A castle in southwestern Anfalas held by House Maldring of Haerlond. Its stone towers overlook the coastal road; the surrounding estate grows grain and raises sheep on the wind-swept Anfalas plain. The castle is a working garrison and manor combined — practical rather than elegant, with a small garrison and the lord's household sharing its walls.",,,2026-04-09 19:20:51.624777,2026-04-09 19:20:51.624777,0101000020E6100000B5C01E13298D07401A6B7F677B384440,,assets/locations,gwaerost_437
438,033f56d8b661b104d5a147e1a75be0b1,Rond Deren,manor,15.0,"A lordly manor tucked in the hills of northern Anfalas between Umb Estelwain and Rond Rhandir, in the County of Agarinna. Rond Deren is a stone manor house with attached farmsteads — a quiet, well-maintained estate of a minor Gondorian noble family who tend their lands and keep out of larger politics.",,,2026-04-09 19:20:51.654549,2026-04-09 19:20:51.654549,0101000020E6100000F1BBE9961D721940FDF9B660A9804540,,assets/locations,rond_deren_438
595,bcd8fc2e535e21125dcf84c78e30cfe8,Stock,village,210.0,"Settled during Hobbit migrations to the Shire, 1601-1610.. Agriculture.. The fertile soil of the Baranduin River valley produces some of the Shire's best mushrooms.",,,2026-04-09 19:20:51.691748,2026-04-09 19:20:51.691748,0101000020E61000009F724C16F71FC3BFB341261939B74940,"55% Stoor, 20% Fallohide, 25% Harfoot",assets/locations,stock_595
441,04e3220ac767492d0a7e4a40af1cf5f7,Sunthra Unsar,city,6000.0,"Originally built under the name Mistalonde, the city appeared in records from the mid-Second Age until T.A. 1503, when Gordaig of Saerlann captured and renamed it Sunthra Unsar. The rebuilt city became the seat of power of the Saerlannish (Dynion) clan, and its inhabitants were almost entirely hillmen.",,,2026-04-09 19:20:51.657579,2026-04-09 19:20:51.657579,0101000020E6100000E21FB6F468AAD5BFC9AEB48CD4A54740,Dunlendings,assets/locations,sunthra_unsar_441
444,06a832f049e40fd2956c67aafa4b97b4,Tir Elena,town,490.0,"A small Gondorian town of Anórien, on the northeastern eaves of Drúadan Forest — capital and seat of House Elenion, the local barons. Stone houses with tiled roofs line the road through the forest's edge; the Drúadan Forest is just beyond the tree-line to the south. The Woses of the forest are never seen in town but their presence is always felt.",,,2026-04-09 19:20:51.659164,2026-04-09 19:20:51.659164,0101000020E610000038DA71C3EF0A31406AA510C825FC4540,Gondor,assets/locations,tir_elena_444
542,72157ca5d66a0573a56b3e8a6faabf35,Bar Nevedui,castle,600.0,"A modest castle of southern Andrast on the river Nevduin, part of the remote county of Bar Morthil. Its walls are of local grey stone, maintained by a small household garrison; the surrounding land is sparsely farmed by Dunir dependants who supply the fort in exchange for protection against Corsair raiders from the coast.",,,2026-04-09 19:20:51.682352,2026-04-09 19:20:51.682352,0101000020E61000008C2D0439286102C045B75ED383964340,Gondor,assets/locations,bar_nevedui_542
1211,,Erädas,castle,200.0,"Built by Eärnil I of Gondor around T.A. 934, seized by Umbar in T.A. 1449.. A rural retreat for Lord Teldûmeir of Umbar; the seat of local administration.. Erädas is situated on a sheltered cove in the Bay of Umbar.",,,2026-06-09 01:08:28.082261,2026-06-09 01:08:28.082261,,"50% Coastal People, 20% Haradan, 20% Corsair, 10% Black Númenórean",assets/locations,er_das_1211
1220,,Isigir,castle,210.0,Constructed by the Captains of Umbar c. T.A. 320.. A rural power base for Lord Adûmir of Umbar; administration of surrounding farmlands.. Isigir is on the north shore of the Nen Umbar and produces many of the potent herbs for which Umbar is known.,,,2026-06-09 01:08:28.08541,2026-06-09 01:08:28.08541,,"60% Coastal People, 25% Corsair, 10% Haradan, 5% Black Númenórean",assets/locations,isigir_1220
1228,,Marös,castle,150.0,Built by Númenórean colonists about S.A. 2210.. Surveillance of traffic on the Nen Umbar; the rural stronghold of Lord Borathôr of Umbar.. Marös rests on a promontory which juts out into the Bay of Umbar.,,,2026-06-09 01:08:28.087809,2026-06-09 01:08:28.087809,,"30% Coastal People, 30% Corsair, 30% Haradan, 10% Black Númenórean",assets/locations,mar_s_1228
512,493a02d2bcbd0fb36907edb7ea0eecaf,Michel Delving,town,650.0,Settled during the Hobbit migrations to the Shire in T.A. 1601-1610.. Largest town in and administrative center of the Shire; agriculture.. The town rests on the slopes of the White Downs in the Westfarthing and is the home of Marcho and Blanco Fallohide.,,,2026-04-09 19:20:51.677132,2026-04-09 19:20:51.677132,0101000020E61000006C04E275FDA203C09D83674293AE4940,"45% Harfoot, 30% Stoor, 25% Fallohide",assets/locations,michel_delving_512
962,29a4b126976fdccab9c4ed7c88397f9f,Gwahilmoth,town,,"A township of Dol Caladir in Minhiriath, about sixty miles west of Tharbad in the central Baranduinean lowlands. In its prime (T.A. 250) it held some 5,000 souls. However by the mid-Third Age its population had dwindled sharply following the Great Plague and regional instability, and the settlement is largely abandoned by T.A. 1640. A traveller finds a melancholy landscape of empty stone foundations and overgrown lanes where grass pushes through the old cobbles.",,,2026-05-25 20:17:49.256207,2026-05-25 20:17:49.256207,0101000020E610000007BFB1B9F5DEF33FE57CC91D3A4E4840,,assets/locations,gwahilmoth_962
963,3a69b6cc15d82b466745c6d8a3611f36,Dol Ninden,town,,"Dol Nendin ('Hill of Silent Water') is a settlement in Minhiriath that has changed hands in regional conflicts among the Lords Allied and the Cardolandrim. The town sits on a prominent hill above a quiet tributary, its stone walls bearing the scars of past assaults. In peaceful times it is a modest market centre for the surrounding farmland.",,,2026-05-25 20:17:49.256207,2026-05-25 20:17:49.256207,0101000020E6100000BE40671A0731B53FF5FB385B29254840,,assets/locations,dol_ninden_963
1083,,Entamundo,town,,"A town in the region, its character shaped by local geography and economy.",,,2026-06-02 14:30:42.42889,2026-06-02 14:30:42.42889,0101000020E6100000B356E1FD4D810440E9086CD0AA584840,,assets/locations,entamundo_1083
1084,,Alclud,village,,,,,2026-06-02 14:30:42.42889,2026-06-02 14:30:42.42889,0101000020E6100000429DC1A9D1CBCFBFB11B59CB12994740,,assets/locations,alclud_1084
1085,,Cithiel,town,,"Once a great township of 4,400 on the Baranduin in the Girithlin highlands of Minhiriath, known in its heyday as Cardhath Cirthiel. By T.A. 1400 the old town was abandoned after a long decline. The site has since been resettled on a smaller scale by Eriadorian tribesmen, who call it Cuncan — a rough cluster of timber-and-daub buildings amid the foundations of the much larger earlier settlement.",,,2026-06-02 15:00:26.076393,2026-06-02 15:00:26.076393,0101000020E6100000E65B961B476D03C07718549CC4A84840,,assets/locations,cithiel_1085
1086,,Silent Castle,ruins,,"Bar Airlossiel ('Home of the Lonely Snow-maiden'), also known as the Silent Castle, is an ancient Elvish tower in a forgotten corner of southern Sîrgala. Its original community of Silvan Elves and Arthadan refugees pledged fealty to a half-Elven mage, Airlossiel the Quiet, who transformed into one of the Houseless after a morgul-wound in T.A. 1409. Her spirit remains bound to the tower's foundations; the haven became almost eerily peaceful thereafter, and few visitors leave with a full account of what they experienced. Rangers occasionally send incurably wounded men here; some return years later, cured but confused.",,,2026-06-02 15:00:26.076393,2026-06-02 15:00:26.076393,0101000020E610000002C363D27AB505C09B0C634740144940,,assets/locations,silent_castle_1086
1087,,Parth Ainatir,point of interest,,"Parth Aertirith (S.""Sward of the Holy Watch"") was an Elvish camping glade on the border of Sîrgala and Harlindon.The Place was forsaken by the Elves after a great tragedy, the juvenile and drunk Elcaldil of Girithlin, heir of Girithlin, had harassed an elven girl and was thrown down by Glorfindel Goldenhair, after which the House Girithlin thought of it's family and fate as cursed.",,,2026-06-02 15:00:26.076393,2026-06-02 15:00:26.076393,0101000020E61000001869EB3B9AEE09C0AF7B1AEF2DCE4840,,assets/locations,parth_ainatir_1087
1088,,Endrist,ruins,,"Once a populous township of 4,600 in western Siragale, known in its heyday as Enedhriss. By the early Third Age it was already in decline; by T.A. 1400 it had been fully abandoned. A traveller today finds only the ghostly outlines of old foundations under the scrub of the Pinnath Luin's lower slopes — no fire, no voice, only the wind through broken stone.",,,2026-06-02 15:00:26.076393,2026-06-02 15:00:26.076393,0101000020E610000061098145661203C02A365413F6D84840,,assets/locations,endrist_1088
1089,,Bag end,point of interest,,"Built by Bungo Baggins into the Hill above Hobbiton's Bagshot Row as a wedding gift for his wife Belladonna Took, c. T.A. 2890. The most luxurious Hobbit-hole in the Westfarthing, entered through a perfectly round green door with a bright brass knob. Inside, all rooms are on a single level: bedrooms, kitchens, pantries, studies, wardrobes and dining-rooms arranged along a comfortable tunnel-passage. The best rooms face the garden and meadow to the west. Home of Bilbo Baggins and later his heir Frodo Baggins.",,,2026-06-02 16:03:51.30775,2026-06-02 16:03:51.30775,0101000020E6100000890BEBE03CEBF3BFA065616973D04940,,assets/locations,bag_end_1089
1189,,Aradhrynd,manor,500.0,"Built by Prince Thranduil around T.A. 1050.. Begun as a retreat for the Prince of the Woodland-realm, the halls became a Palace when Thranduil abandoned the halls at Caras Amarth.. The capital and largest city of the Elven kingdom of northern Mirkwood, fashioned after the model of Nargothrond. Using a hill by the edge of the forest as his base, King Thranduil ordered his subjects to carve fair halls and caverns beneath it. Thranduil completed his dwelling in T.A. 1100 after the Shadow of Dol Guldur began growing in the southern reaches of the forest. The halls are not dark, like those of Goblins, but sparkle with torchlight and merriment. Only a small number of Elves actually make their home at the Aradhrynd since most prefer to dwell under the canopy of Mirkwood's leaves.",,,2026-06-09 01:08:28.035039,2026-06-09 01:08:28.035039,,"93% Silvan Elvish, 7% Sinda",assets/locations,aradhrynd_1189
