name,slug,category,probability_by_region
Black Minks,black_minks,Animal,"[{""region"": ""Dorwinion"", ""probability"": 2}]"
Black Swans,black_swans,Animal,"[{""region"": ""Dor Rhunen"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 2}, {""region"": ""Gramuz"", ""probability"": 2}, {""region"": ""Nurn"", ""probability"": 2}]"
Boar,boar,Animal,"[{""region"": ""Bree"", ""probability"": 6}, {""region"": ""Dunland"", ""probability"": 2}, {""region"": ""En Egladil"", ""probability"": 2}, {""region"": ""Enedhwaith"", ""probability"": 1}, {""region"": ""Fangorn"", ""probability"": 1}, {""region"": ""Minhiriath"", ""probability"": 3}, {""region"": ""Mintyrnath"", ""probability"": 2}, {""region"": ""Old Forest"", ""probability"": 3}, {""region"": ""Parth Celebrant"", ""probability"": 1}, {""region"": ""Rast Vorn"", ""probability"": 2}, {""region"": ""South Arthedain"", ""probability"": 1}, {""region"": ""South Downs"", ""probability"": 2}, {""region"": ""The Shire"", ""probability"": 6}, {""region"": ""Tower Hills"", ""probability"": 1}, {""region"": ""Trollshaws"", ""probability"": 2}, {""region"": ""West Rhudaur"", ""probability"": 2}]"
Bramble,bramble,Inanimate,"[{""region"": ""Nurn"", ""probability"": 6}]"
Broadbeam Dwarf Patrol,broadbeam_dwarf_patrol,Commercial,"[{""region"": ""Ardolyalinya"", ""probability"": 5}, {""region"": ""Ardquetto"", ""probability"": 4}, {""region"": ""Celanoriand"", ""probability"": 11}, {""region"": ""Ered Luin"", ""probability"": 22}, {""region"": ""Ered Luin Vales"", ""probability"": 11}, {""region"": ""Tol Fuin"", ""probability"": 11}]"
Burial Sites,burial_sites,Sites,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Nurn"", ""probability"": 12}, {""region"": ""Rohan"", ""probability"": 1}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}, {""region"": ""Talath Uichel"", ""probability"": 1}, {""region"": ""Westmarch"", ""probability"": 1}, {""region"": ""Wold"", ""probability"": 1}]"
Calenardhon Site,calenardhon_site,Sites,"[{""region"": ""Fangorn"", ""probability"": 2}, {""region"": ""Parth Celebrant"", ""probability"": 4}]"
Calenardhons Common Folk,calenardhons_common_folk,Men,"[{""region"": ""Fangorn"", ""probability"": 3}, {""region"": ""Parth Celebrant"", ""probability"": 6}]"
Calenardhons Soldiers,calenardhons_soldiers,Men,"[{""region"": ""Fangorn"", ""probability"": 3}, {""region"": ""Parth Celebrant"", ""probability"": 2}]"
Caru,caru,Animal,"[{""region"": ""Dor Rhunen"", ""probability"": 1}, {""region"": ""Dorwinion"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 1}, {""region"": ""Gramuz"", ""probability"": 1}]"
Cathfiar,cathfiar,Animal,"[{""region"": ""Andrast"", ""probability"": 3}, {""region"": ""Anfalas"", ""probability"": 1}, {""region"": ""Dor-en-Emyl"", ""probability"": 28}, {""region"": ""Druwaith Laur"", ""probability"": 2}, {""region"": ""Lamedon"", ""probability"": 29}]"
Cave Bears,cave_bears,Animal,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 1}, {""region"": ""En Egladil"", ""probability"": 1}, {""region"": ""En Udanoriath"", ""probability"": 1}, {""region"": ""Ettenmoors"", ""probability"": 1}, {""region"": ""Forovirian"", ""probability"": 1}, {""region"": ""Iron Hills"", ""probability"": 2}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 1}, {""region"": ""Talath Uichel"", ""probability"": 1}, {""region"": ""Trollshaws"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 1}]"
Cave Cavern,cave_cavern,Sites,"[{""region"": ""Angmar"", ""probability"": 2}, {""region"": ""Central Anduin"", ""probability"": 2}, {""region"": ""Central Misty Mountains"", ""probability"": 6}, {""region"": ""Coldfells"", ""probability"": 3}, {""region"": ""Dale"", ""probability"": 3}, {""region"": ""Dor Guldur"", ""probability"": 3}, {""region"": ""En Udanoriath"", ""probability"": 3}, {""region"": ""Esgaroth"", ""probability"": 3}, {""region"": ""Ettenmoors"", ""probability"": 3}, {""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""Mirkwood Wilds"", ""probability"": 3}, {""region"": ""North Misty Mountains"", ""probability"": 6}, {""region"": ""Nurn"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 3}, {""region"": ""Talath Uichel"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 3}, {""region"": ""Woodland Realm"", ""probability"": 3}, {""region"": ""Woodmen"", ""probability"": 3}]"
Cave Cavern Lair,cave_cavern_lair,Sites,"[{""region"": ""Central Anduin"", ""probability"": 3}, {""region"": ""Central Misty Mountains"", ""probability"": 5}, {""region"": ""Druadan Forest"", ""probability"": 2}, {""region"": ""Dunland"", ""probability"": 3}, {""region"": ""Fangorn"", ""probability"": 3}, {""region"": ""North Misty Mountains"", ""probability"": 5}, {""region"": ""Parth Celebrant"", ""probability"": 3}, {""region"": ""Rohan"", ""probability"": 1}, {""region"": ""Ronen-in-Anduin"", ""probability"": 3}, {""region"": ""Westmarch"", ""probability"": 1}, {""region"": ""Wold"", ""probability"": 1}]"
Cave Drake,cave_drake,Non_mannish,"[{""region"": ""Forovirian"", ""probability"": 2}, {""region"": ""Iron Hills"", ""probability"": 2}, {""region"": ""Talath Uichel"", ""probability"": 4}]"
Cave Troll,cave_troll,Non_mannish,"[{""region"": ""Forovirian"", ""probability"": 2}]"
Cave trolls,cave_trolls,Non_mannish,"[{""region"": ""Evendim Hills"", ""probability"": 1}, {""region"": ""Fornost"", ""probability"": 1}, {""region"": ""Forochel"", ""probability"": 1}, {""region"": ""Lone-lands"", ""probability"": 3}, {""region"": ""Numeriador"", ""probability"": 1}, {""region"": ""Rammas Formen"", ""probability"": 3}, {""region"": ""Talath Muil"", ""probability"": 2}, {""region"": ""Weather Hills"", ""probability"": 3}]"
Chamber Bird N,chamber_bird_n,Animal,"[{""region"": ""Moria"", ""probability"": 3}]"
Chasm,chasm,Inanimate,"[{""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""Mordor"", ""probability"": 8}, {""region"": ""Talath Uichel"", ""probability"": 1}]"
Cliff,cliff,Inanimate,"[{""region"": ""Mordor"", ""probability"": 6}, {""region"": ""Nurn"", ""probability"": 1}]"
Cliff Buzzards,cliff_buzzards,Animal,"[{""region"": ""Angmar"", ""probability"": 1}, {""region"": ""Central Anduin"", ""probability"": 2}, {""region"": ""Central Misty Mountains"", ""probability"": 2}, {""region"": ""Coldfells"", ""probability"": 2}, {""region"": ""En Udanoriath"", ""probability"": 2}, {""region"": ""Ettenmoors"", ""probability"": 2}, {""region"": ""Forovirian"", ""probability"": 1}, {""region"": ""Iron Hills"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 2}, {""region"": ""Nurn"", ""probability"": 5}, {""region"": ""Rivendell"", ""probability"": 2}, {""region"": ""Wilderness of Arnor"", ""probability"": 2}]"
Closing Pit Trap,closing_pit_trap,Inanimate,"[{""region"": ""Moria"", ""probability"": 1}]"
Coireals,coireals,Animal,"[{""region"": ""Gramuz"", ""probability"": 3}]"
Cold Drake,cold_drake,Non_mannish,"[{""region"": ""Forovirian"", ""probability"": 2}]"
Common Folk,common_folk,Men,"[{""region"": ""Andrast"", ""probability"": 21}, {""region"": ""Anfalas"", ""probability"": 26}, {""region"": ""Anorien"", ""probability"": 39}, {""region"": ""Belegaer sea"", ""probability"": 6}, {""region"": ""Bree"", ""probability"": 13}, {""region"": ""Dor-en-Emyl"", ""probability"": 2}, {""region"": ""Druwaith Laur"", ""probability"": 12}, {""region"": ""Enedhwaith"", ""probability"": 12}, {""region"": ""Evendim Hills"", ""probability"": 28}, {""region"": ""Fornost"", ""probability"": 16}, {""region"": ""Hairavercien"", ""probability"": 18}, {""region"": ""Lamedon"", ""probability"": 2}, {""region"": ""Lebennin"", ""probability"": 39}, {""region"": ""Lone-lands"", ""probability"": 1}, {""region"": ""Minhiriath"", ""probability"": 10}, {""region"": ""Mintyrnath"", ""probability"": 4}, {""region"": ""Numeriador"", ""probability"": 28}, {""region"": ""Old Forest"", ""probability"": 6}, {""region"": ""Rast Vorn"", ""probability"": 6}, {""region"": ""South Arthedain"", ""probability"": 7}, {""region"": ""South Downs"", ""probability"": 4}, {""region"": ""Talath Muil"", ""probability"": 2}, {""region"": ""The Shire"", ""probability"": 13}, {""region"": ""Tolfalas"", ""probability"": 6}, {""region"": ""Tower Hills"", ""probability"": 5}, {""region"": ""Weather Hills"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 4}]"
Corsairs,corsairs,Men,"[{""region"": ""Andrast"", ""probability"": 2}, {""region"": ""Anfalas"", ""probability"": 1}, {""region"": ""Anorien"", ""probability"": 1}, {""region"": ""Belegaer sea"", ""probability"": 4}, {""region"": ""Dor-en-Emyl"", ""probability"": 10}, {""region"": ""Druwaith Laur"", ""probability"": 2}, {""region"": ""Hairavercien"", ""probability"": 6}, {""region"": ""Lamedon"", ""probability"": 5}, {""region"": ""Lebennin"", ""probability"": 1}, {""region"": ""Tolfalas"", ""probability"": 4}]"
Crebain,crebain,Animal,"[{""region"": ""Ardolyalinya"", ""probability"": 2}, {""region"": ""Ardquetto"", ""probability"": 2}, {""region"": ""Ascahiriand"", ""probability"": 2}, {""region"": ""Dor Rhunen"", ""probability"": 2}, {""region"": ""Dorwinion"", ""probability"": 3}, {""region"": ""Eothraim"", ""probability"": 2}, {""region"": ""Forithilien"", ""probability"": 3}, {""region"": ""Gramuz"", ""probability"": 2}, {""region"": ""Harithilien"", ""probability"": 3}, {""region"": ""Harondor"", ""probability"": 3}, {""region"": ""Lairiardhon"", ""probability"": 2}, {""region"": ""Lildardhon"", ""probability"": 2}, {""region"": ""M\u00e4noriand"", ""probability"": 2}, {""region"": ""Ronalindon"", ""probability"": 2}, {""region"": ""Sandariand"", ""probability"": 2}, {""region"": ""South Harlindon"", ""probability"": 2}, {""region"": ""Vinyalas"", ""probability"": 2}]"
Crocodiles,crocodiles,Animal,"[{""region"": ""Minhiriath"", ""probability"": 1}, {""region"": ""Rast Vorn"", ""probability"": 2}]"
Crows,crows,Animal,"[{""region"": ""Angmar"", ""probability"": 1}, {""region"": ""Central Anduin"", ""probability"": 4}, {""region"": ""Central Misty Mountains"", ""probability"": 4}, {""region"": ""Coldfells"", ""probability"": 5}, {""region"": ""Dale"", ""probability"": 4}, {""region"": ""En Udanoriath"", ""probability"": 5}, {""region"": ""Esgaroth"", ""probability"": 4}, {""region"": ""Ettenmoors"", ""probability"": 5}, {""region"": ""Forovirian"", ""probability"": 3}, {""region"": ""Iron Hills"", ""probability"": 2}, {""region"": ""North Misty Mountains"", ""probability"": 4}, {""region"": ""Rivendell"", ""probability"": 5}, {""region"": ""Talath Uichel"", ""probability"": 1}, {""region"": ""Wilderness of Arnor"", ""probability"": 5}, {""region"": ""Woodland Realm"", ""probability"": 4}]"
Culcarnix,culcarnix,Animal,"[{""region"": ""Dor Rhunen"", ""probability"": 2}, {""region"": ""Eothraim"", ""probability"": 2}, {""region"": ""Gramuz"", ""probability"": 2}]"
Dangerous Snakes,dangerous_snakes,Animal,"[{""region"": ""En Egladil"", ""probability"": 1}, {""region"": ""Trollshaws"", ""probability"": 3}, {""region"": ""West Rhudaur"", ""probability"": 2}]"
Deer,deer,Animal,"[{""region"": ""Angmar"", ""probability"": 1}, {""region"": ""Central Anduin"", ""probability"": 4}, {""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Coldfells"", ""probability"": 4}, {""region"": ""Dale"", ""probability"": 5}, {""region"": ""En Udanoriath"", ""probability"": 4}, {""region"": ""Esgaroth"", ""probability"": 5}, {""region"": ""Ettenmoors"", ""probability"": 4}, {""region"": ""Evendim Hills"", ""probability"": 5}, {""region"": ""Fornost"", ""probability"": 3}, {""region"": ""Forochel"", ""probability"": 1}, {""region"": ""Forovirian"", ""probability"": 3}, {""region"": ""Iron Hills"", ""probability"": 2}, {""region"": ""Lone-lands"", ""probability"": 2}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Numeriador"", ""probability"": 5}, {""region"": ""Rammas Formen"", ""probability"": 1}, {""region"": ""Rivendell"", ""probability"": 4}, {""region"": ""Talath Muil"", ""probability"": 4}, {""region"": ""Talath Uichel"", ""probability"": 1}, {""region"": ""Weather Hills"", ""probability"": 2}, {""region"": ""Wilderness of Arnor"", ""probability"": 4}, {""region"": ""Woodland Realm"", ""probability"": 5}, {""region"": ""Woodmen"", ""probability"": 6}]"
Deer Elk,deer_elk,Animal,"[{""region"": ""Eregion"", ""probability"": 3}]"
Dire Wolves,dire_wolves,Animal,"[{""region"": ""Dorwinion"", ""probability"": 4}, {""region"": ""Gramuz"", ""probability"": 3}]"
Dragons,dragons,Non_mannish,"[{""region"": ""Dunland"", ""probability"": 1}]"
Drake Dragon,drake_dragon,Non_mannish,"[{""region"": ""Central Anduin"", ""probability"": 1}, {""region"": ""Central Misty Mountains"", ""probability"": 2}, {""region"": ""North Misty Mountains"", ""probability"": 2}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}, {""region"": ""Westmarch"", ""probability"": 1}]"
Drakes,drakes,Non_mannish,"[{""region"": ""Gramuz"", ""probability"": 1}]"
Druedain Site,druedain_site,Sites,"[{""region"": ""Dunland"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 1}]"
Druedain Woses,druedain_woses,Non_mannish,"[{""region"": ""Central Misty Mountains"", ""probability"": 1}, {""region"": ""Druadan Forest"", ""probability"": 28}, {""region"": ""Dunland"", ""probability"": 1}, {""region"": ""Fangorn"", ""probability"": 1}, {""region"": ""North Misty Mountains"", ""probability"": 1}, {""region"": ""Ronen-in-Anduin"", ""probability"": 1}]"
Dumbledoors,dumbledoors,Animal,"[{""region"": ""Evendim Hills"", ""probability"": 4}, {""region"": ""Fornost"", ""probability"": 4}, {""region"": ""Forochel"", ""probability"": 2}, {""region"": ""Numeriador"", ""probability"": 4}, {""region"": ""Rammas Formen"", ""probability"": 1}]"
Dunedain,dunedain,Men,"[{""region"": ""Angmar"", ""probability"": 1}, {""region"": ""Dor Rhunen"", ""probability"": 7}, {""region"": ""Dorwinion"", ""probability"": 4}, {""region"": ""Eothraim"", ""probability"": 7}, {""region"": ""Gramuz"", ""probability"": 3}]"
Dunedain Ranger Patrol,dunedain_ranger_patrol,Men,"[{""region"": ""Wilderness of Arnor"", ""probability"": 8}]"
Dunedain Site,dunedain_site,Sites,"[{""region"": ""Dunland"", ""probability"": 2}, {""region"": ""Fangorn"", ""probability"": 1}, {""region"": ""Parth Celebrant"", ""probability"": 1}]"
Dunedain Traveller,dunedain_traveller,Men,"[{""region"": ""Apariach"", ""probability"": 6}, {""region"": ""Ardolyalinya"", ""probability"": 6}, {""region"": ""Ardquetto"", ""probability"": 5}, {""region"": ""Ascahiriand"", ""probability"": 6}, {""region"": ""Lairiardhon"", ""probability"": 6}, {""region"": ""Lildardhon"", ""probability"": 6}, {""region"": ""M\u00e4noriand"", ""probability"": 7}, {""region"": ""Ronalindon"", ""probability"": 6}, {""region"": ""Sandariand"", ""probability"": 6}, {""region"": ""South Harlindon"", ""probability"": 7}, {""region"": ""Vinyalas"", ""probability"": 6}]"
Dunlending Site,dunlending_site,Sites,"[{""region"": ""Dunland"", ""probability"": 5}, {""region"": ""Parth Celebrant"", ""probability"": 1}]"
Dunlending Tribesmen,dunlending_tribesmen,Men,"[{""region"": ""Bree"", ""probability"": 11}, {""region"": ""Old Forest"", ""probability"": 3}, {""region"": ""South Arthedain"", ""probability"": 7}, {""region"": ""The Shire"", ""probability"": 11}, {""region"": ""Tower Hills"", ""probability"": 3}]"
Dunlendings,dunlendings,Men,"[{""region"": ""Andrast"", ""probability"": 4}, {""region"": ""Anfalas"", ""probability"": 1}, {""region"": ""Angmar"", ""probability"": 3}, {""region"": ""Anorien"", ""probability"": 1}, {""region"": ""Belegaer sea"", ""probability"": 1}, {""region"": ""Bree"", ""probability"": 4}, {""region"": ""Druwaith Laur"", ""probability"": 12}, {""region"": ""Enedhwaith"", ""probability"": 3}, {""region"": ""Hairavercien"", ""probability"": 1}, {""region"": ""Lebennin"", ""probability"": 1}, {""region"": ""Minhiriath"", ""probability"": 4}, {""region"": ""Mintyrnath"", ""probability"": 1}, {""region"": ""Old Forest"", ""probability"": 1}, {""region"": ""South Arthedain"", ""probability"": 1}, {""region"": ""South Downs"", ""probability"": 1}, {""region"": ""The Shire"", ""probability"": 4}, {""region"": ""Tolfalas"", ""probability"": 1}, {""region"": ""Tower Hills"", ""probability"": 2}]"
Dunlendings Bards,dunlendings_bards,Men,"[{""region"": ""Dunland"", ""probability"": 3}]"
Dunlendings Common Folk,dunlendings_common_folk,Men,"[{""region"": ""Dunland"", ""probability"": 6}]"
